nominal;data;curs;cdx
1;09+07+2020;71,2379;Доллар США
1;10+07+2020;70,8800;Доллар США
1;11+07+2020;71,2298;Доллар США
1;14+07+2020;70,7479;Доллар США
1;15+07+2020;71,1275;Доллар США
1;16+07+2020;70,7998;Доллар США
1;17+07+2020;71,2310;Доллар США
1;18+07+2020;71,7139;Доллар США
1;21+07+2020;71,9628;Доллар США
1;22+07+2020;70,9668;Доллар США
1;23+07+2020;70,7881;Доллар США
1;24+07+2020;70,9630;Доллар США
1;25+07+2020;71,5974;Доллар США
1;28+07+2020;71,5850;Доллар США
1;29+07+2020;71,9196;Доллар США
1;30+07+2020;72,2348;Доллар США
1;31+07+2020;73,3633;Доллар США
1;01+08+2020;73,4261;Доллар США
1;04+08+2020;74,1586;Доллар США
1;05+08+2020;73,3806;Доллар США
1;06+08+2020;73,2806;Доллар США
1;07+08+2020;73,0397;Доллар США
1;08+08+2020;73,6376;Доллар США
1;11+08+2020;73,7750;Доллар США
1;12+08+2020;73,1522;Доллар США
1;13+08+2020;73,2351;Доллар США
1;14+08+2020;73,6067;Доллар США
1;15+08+2020;73,2157;Доллар США
1;18+08+2020;72,9676;Доллар США
1;19+08+2020;73,4321;Доллар США
1;20+08+2020;73,2392;Доллар США
1;21+08+2020;73,7711;Доллар США
1;22+08+2020;74,0999;Доллар США
1;25+08+2020;74,4184;Доллар США
1;26+08+2020;74,5126;Доллар США
1;27+08+2020;75,5379;Доллар США
1;28+08+2020;75,2354;Доллар США
1;29+08+2020;74,6382;Доллар США
1;01+09+2020;73,8039;Доллар США
